Aceh,Meulaboh dengan ibukota Meulaboh dengan Landschappennya Kaway XVI, Woyla, Bubon, Lhok Bubon, Seunagan, Seuneu'am, Beutong, Tungkop dan Pameue;, , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Tjalang dengan ibukota Tjalang (dan sebelum tahun 1910 ibukotanya adalah Lhok Kruet) dengan Landschappennya Keluang, Kuala Daya, Lambeusoi, Kuala Unga, Lhok Kruet, Patek, Lageun, Rigaih, Krueng Sabee dan Teunom;, , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Tapaktuan dengan ibukota Tapak Tuan;, , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Simeulue dengan ibukota Sinabang dengan Landschappennya Teupah, Simalur, Salang, Leukon dan Sigulai;, , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Zuid Atjeh dengan ibukota Bakongan;, , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Singkil dengan ibukota Singkil., , ,Karesidenan Aceh,Penjajahan Belanda,Sejarah
Aceh,Ir. Nasrudin (28 Agustus 2004 - 23 Maret 2006), , , ,Bupati,Pemerintahan
Aceh,Sofyanis (Pj) (23 Maret 2006 - Agustus 2006), , , ,Bupati,Pemerintahan
Aceh,H.T. Alamsyah Banta (Pj) (Agustus 2006 - Maret 2007), , , ,Bupati,Pemerintahan
Aceh,Ramli MS dan Fuadri, S.Si (Maret 2007 - Maret 2012), , , ,Bupati,Pemerintahan
Aceh,Ridwan Hasan (Pj) (Maret 2012- Oktober 2012), , , ,Bupati,Pemerintahan
Aceh,H T Alaidinsyah (H.TITO) dan H. Rahmad Fitri (H.Nanda) (8 Oktober 2012 - Oktober 2017), , , ,Bupati,Pemerintahan
Aceh,Ramli MS dan Drs. H.Banta Puteh Syam, SH, MM. (10 Oktober 2017 - Sekarang), , , ,Bupati,Pemerintahan
Aceh,Meningkatkan pelaksanaan Syariat Islam, peran ulama dan adat istiadat., , , ,Program Strategis Pembangunan Daerah,Pemerintahan
